-0.48501,0.18639,0.49283,0.6285,0.38196,-0.32951,-0.63173,-0.07535,0.50711,0.56454
-0.1643,0.62926,0.54762,0.23948,-0.022185,-0.68961,-0.9855,-0.42666,0.036615,0.27685
0.40643,0.48315,0.12055,-0.30174,-0.44566,-0.44849,-0.46362,-0.44746,-0.45613,-0.18604
0.54215,-0.028815,-0.53072,-0.95571,-0.58718,0.26656,0.59512,0.0087035,-0.82964,-0.79523
0.36767,-0.247,-0.43462,-0.6371,-0.56936,0.054275,0.35443,-0.19667,-0.63801,-0.53373
0.0062549,-0.52139,-0.54612,-0.43129,-0.68997,-0.6132,-0.52952,-0.72601,-0.54147,-0.4603
-0.14874,-0.64561,-0.65438,-0.43633,-0.74332,-0.84384,-0.84862,-0.89601,-0.54965,-0.51189
0.13763,-0.40134,-0.40858,-0.38285,-0.62885,-0.43058,-0.28088,-0.58806,-0.50863,-0.36757
0.41653,-0.26651,-0.6225,-0.9178,-0.58894,0.28927,0.6595,-0.0027012,-0.78993,-0.78864
0.60263,0.14184,-0.32048,-0.73805,-0.58347,0.019598,0.25171,-0.17816,-0.72946,-0.58275
